Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,1500,2,26,10681074
mmClasicaPosix,1500,2,27,11016957
mmClasicaPosix,1500,2,28,10708211
mmClasicaPosix,1500,2,29,10741770
mmClasicaPosix,1500,2,30,10810470
mmClasicaPosix,1500,4,1,5059892
mmClasicaPosix,1500,4,2,5089444
mmClasicaPosix,1500,4,3,5155088
mmClasicaPosix,1500,4,4,4957383
mmClasicaPosix,1500,4,5,4926654
mmClasicaPosix,1500,4,6,4919939
mmClasicaPosix,1500,4,7,4968786
mmClasicaPosix,1500,4,8,4991689
mmClasicaPosix,1500,4,9,5009862
mmClasicaPosix,1500,4,10,4991114
mmClasicaPosix,1500,4,11,4893120
mmClasicaPosix,1500,4,12,5019304
mmClasicaPosix,1500,4,13,5009290
mmClasicaPosix,1500,4,14,5031227
mmClasicaPosix,1500,4,15,5076161
mmClasicaPosix,1500,4,16,5122775
mmClasicaPosix,1500,4,17,5006876
mmClasicaPosix,1500,4,18,5114329
mmClasicaPosix,1500,4,19,4798094
mmClasicaPosix,1500,4,20,4198034
mmClasicaPosix,1500,4,21,4227178
mmClasicaPosix,1500,4,22,4293553
mmClasicaPosix,1500,4,23,4289037
mmClasicaPosix,1500,4,24,4152081
mmClasicaPosix,1500,4,25,4110340
mmClasicaPosix,1500,4,26,4059888
mmClasicaPosix,1500,4,27,4264265
mmClasicaPosix,1500,4,28,4931201
mmClasicaPosix,1500,4,29,5051528
mmClasicaPosix,1500,4,30,5025630
mmClasicaPosix,1500,8,1,4467156
mmClasicaPosix,1500,8,2,4400786
mmClasicaPosix,1500,8,3,4456729
mmClasicaPosix,1500,8,4,4445459
mmClasicaPosix,1500,8,5,4507548
mmClasicaPosix,1500,8,6,4485172
mmClasicaPosix,1500,8,7,4449655
mmClasicaPosix,1500,8,8,4511241
mmClasicaPosix,1500,8,9,4451203
mmClasicaPosix,1500,8,10,4495419
mmClasicaPosix,1500,8,11,4507512
mmClasicaPosix,1500,8,12,4555102
mmClasicaPosix,1500,8,13,4316221
mmClasicaPosix,1500,8,14,4502236
mmClasicaPosix,1500,8,15,4467540
mmClasicaPosix,1500,8,16,4400460
mmClasicaPosix,1500,8,17,4538823
mmClasicaPosix,1500,8,18,4385176
mmClasicaPosix,1500,8,19,4418061
mmClasicaPosix,1500,8,20,4498894
